Generation,Total Shipped,Total RMA,Currently in Field,Date
PVT,160,5,155,2020-12-01
PVT2,239,27,213,2020-12-01
MP1,377,39,338,2020-12-01
MP1m,53,2,51,2020-12-01
MP2,756,65,692,2020-12-01
MP3,703,113,590,2020-12-01
MP4,642,87,555,2020-12-01
MP5,936,49,888,2020-12-01
PVT,160,5,155,2020-12-02
PVT2,239,27,213,2020-12-02
MP1,377,39,338,2020-12-02
MP1m,53,2,51,2020-12-02
MP2,756,65,692,2020-12-02
MP3,703,113,590,2020-12-02
MP4,642,87,555,2020-12-02
MP5,938,49,890,2020-12-02
PVT,160,5,155,2020-12-03
PVT2,239,27,213,2020-12-03
MP1,377,39,338,2020-12-03
MP1m,53,2,51,2020-12-03
MP2,756,65,692,2020-12-03
MP3,703,113,590,2020-12-03
MP4,642,87,555,2020-12-03
MP5,984,49,936,2020-12-03
PVT,160,5,155,2020-12-04
PVT2,239,29,211,2020-12-04
MP1,377,48,329,2020-12-04
MP1m,53,2,51,2020-12-04
MP2,756,70,687,2020-12-04
MP3,703,117,586,2020-12-04
MP4,642,89,553,2020-12-04
MP5,1000,55,946,2020-12-04
PVT,160,5,155,2020-12-05
PVT2,239,29,211,2020-12-05
MP1,377,48,329,2020-12-05
MP1m,53,2,51,2020-12-05
MP2,756,70,687,2020-12-05
MP3,703,117,586,2020-12-05
MP4,642,89,553,2020-12-05
MP5,1000,55,946,2020-12-05
PVT,160,5,155,2020-12-06
PVT2,239,29,211,2020-12-06
MP1,377,48,329,2020-12-06
MP1m,53,2,51,2020-12-06
MP2,756,70,687,2020-12-06
MP3,703,117,586,2020-12-06
MP4,642,89,553,2020-12-06
MP5,1000,55,946,2020-12-06
PVT,160,5,155,2020-12-07
PVT2,239,29,211,2020-12-07
MP1,377,49,328,2020-12-07
MP1m,53,2,51,2020-12-07
MP2,756,72,685,2020-12-07
MP3,703,118,585,2020-12-07
MP4,642,89,553,2020-12-07
MP5,1000,65,937,2020-12-07
PVT,160,5,155,2020-12-08
PVT2,239,30,210,2020-12-08
MP1,377,50,327,2020-12-08
MP1m,53,2,51,2020-12-08
MP2,756,72,685,2020-12-08
MP3,703,119,584,2020-12-08
MP4,642,89,553,2020-12-08
MP5,1000,71,931,2020-12-08
PVT,160,5,155,2020-12-09
PVT2,239,31,209,2020-12-09
MP1,377,50,327,2020-12-09
MP1m,53,2,51,2020-12-09
MP2,756,73,684,2020-12-09
MP3,703,119,584,2020-12-09
MP4,642,90,552,2020-12-09
MP5,1000,72,930,2020-12-09
PVT,160,5,155,2020-12-10
PVT2,239,31,209,2020-12-10
MP1,377,50,327,2020-12-10
MP1m,53,2,51,2020-12-10
MP2,756,73,684,2020-12-10
MP3,703,119,584,2020-12-10
MP4,642,90,552,2020-12-10
MP5,1000,72,930,2020-12-10
PVT,160,5,155,2020-12-11
PVT2,239,31,209,2020-12-11
MP1,377,50,327,2020-12-11
MP1m,53,2,51,2020-12-11
MP2,756,73,684,2020-12-11
MP3,703,119,584,2020-12-11
MP4,642,90,552,2020-12-11
MP5,1000,72,930,2020-12-11
PVT,160,5,155,2020-12-12
PVT2,239,31,209,2020-12-12
MP1,377,50,327,2020-12-12
MP1m,53,2,51,2020-12-12
MP2,756,73,684,2020-12-12
MP3,703,119,584,2020-12-12
MP4,642,90,552,2020-12-12
MP5,1000,72,930,2020-12-12
