Generation,Shipped,RMA,Currently in Field,Activated,Date
PVT,160,5,155,94,2020-11-14
PVT2,239,25,215,149,2020-11-14
MP1,377,37,340,247,2020-11-14
MP1m,53,1,52,45,2020-11-14
MP2,756,63,694,621,2020-11-14
MP3,703,111,592,549,2020-11-14
MP4,642,83,559,507,2020-11-14
MP5,615,42,574,469,2020-11-14
PVT,160,5,155,94,2020-11-21
PVT2,239,25,215,149,2020-11-21
MP1,377,38,339,246,2020-11-21
MP1m,53,1,52,45,2020-11-21
MP2,756,64,693,620,2020-11-21
MP3,703,113,590,547,2020-11-21
MP4,642,84,558,506,2020-11-21
MP5,699,45,655,520,2020-11-21
PVT,160,5,155,94,2020-11-28
PVT2,239,26,214,148,2020-11-28
MP1,377,39,338,245,2020-11-28
MP1m,53,2,51,44,2020-11-28
MP2,756,64,693,620,2020-11-28
MP3,703,113,590,547,2020-11-28
MP4,642,87,555,503,2020-11-28
MP5,836,46,791,586,2020-11-28
PVT,160,5,155,94,2020-12-05
PVT2,239,29,211,145,2020-12-05
MP1,377,48,329,236,2020-12-05
MP1m,53,2,51,44,2020-12-05
MP2,756,70,687,614,2020-12-05
MP3,703,117,586,543,2020-12-05
MP4,642,89,553,501,2020-12-05
MP5,1000,55,946,641,2020-12-05
PVT,160,5,155,94,2020-12-12
PVT2,239,31,209,143,2020-12-12
MP1,377,50,327,234,2020-12-12
MP1m,53,2,51,44,2020-12-12
MP2,756,73,684,611,2020-12-12
MP3,703,119,584,541,2020-12-12
MP4,642,90,552,500,2020-12-12
MP5,1000,72,930,628,2020-12-12
