Date,Shipped,RMA,CIF,Activated,Not Activated,Online (All 7 days),Blinking (Online 1-6 days),Offline (All 7 days)
2020-08-01,2817,317,2501,2141,360,1700,102,339
2020-08-02,2817,317,2501,2162,339,1704,105,353
2020-08-03,2817,321,2497,2170,327,1719,105,346
2020-08-04,2842,321,2522,2176,346,1718,117,341
2020-08-05,2842,322,2521,2181,340,1716,121,344
2020-08-06,2850,326,2525,2180,345,1719,116,345
2020-08-07,2850,328,2523,2186,337,1729,104,353
2020-08-08,2883,328,2556,2205,351,1747,93,365
2020-08-09,2883,328,2556,2230,326,1742,107,381
2020-08-10,2883,333,2551,2244,307,1740,126,378
2020-08-11,2910,333,2578,2263,315,1740,133,390
2020-08-12,2919,333,2587,2270,317,1736,147,387
2020-08-13,2932,340,2593,2272,321,1739,155,378
2020-08-14,2942,343,2600,2275,325,1745,153,377
2020-08-15,2953,343,2611,2281,330,1759,139,383
2020-08-16,2953,343,2611,2298,313,1768,134,396
2020-08-17,2953,350,2604,2302,302,1788,124,390
2020-08-18,2953,352,2602,2310,292,1799,126,385
2020-08-19,2953,356,2598,2319,279,1810,116,393
2020-08-20,2953,356,2598,2328,270,1806,126,396
2020-08-21,2953,366,2588,2327,261,1819,123,385
2020-08-22,2953,366,2588,2330,258,1834,105,391
2020-08-23,2953,366,2588,2336,252,1834,96,406
2020-08-24,2953,366,2588,2341,247,1838,96,407
2020-08-25,2953,374,2580,2338,242,1845,93,400
2020-08-26,3016,374,2643,2339,304,1847,82,410
2020-08-27,3016,374,2643,2340,303,1855,72,413
2020-08-28,3061,379,2683,2350,333,1842,83,425
2020-08-29,3061,380,2682,2360,322,1844,92,424
2020-08-30,3061,380,2682,2377,305,1852,88,437
2020-08-31,3061,381,2681,2391,290,1847,100,444
2020-09-01,3061,383,2679,2404,275,1836,116,452
2020-09-02,3099,383,2717,2413,304,1835,127,451
2020-09-03,3099,383,2717,2421,296,1836,122,463
2020-09-04,3099,383,2717,2424,293,1838,122,464
2020-09-05,3129,383,2747,2426,321,1844,114,468
2020-09-06,3129,383,2747,2430,317,1850,106,474
2020-09-07,3129,383,2747,2435,312,1854,104,477
2020-09-08,3129,383,2747,2444,303,1863,89,492
2020-09-09,3156,383,2774,2458,316,1855,84,519
2020-09-10,3156,383,2774,2473,301,1855,94,524
2020-09-11,3181,406,2776,2459,317,1850,111,498
2020-09-12,3181,407,2775,2459,316,1842,113,504
2020-09-13,3181,407,2775,2467,308,1838,115,514
2020-09-14,3181,407,2775,2473,302,1827,118,528
2020-09-15,3181,420,2762,2473,289,1816,130,527
2020-09-16,3197,420,2778,2484,294,1825,124,535
2020-09-17,3197,420,2778,2486,292,1824,127,535
2020-09-18,3197,436,2762,2476,286,1817,126,533
2020-09-19,3197,436,2762,2483,279,1816,114,553
2020-09-20,3197,436,2762,2488,274,1803,118,567
2020-09-21,3216,436,2781,2494,287,1786,128,580
2020-09-22,3216,442,2775,2489,286,1782,113,594
2020-09-23,3216,443,2774,2491,283,1773,119,599
2020-09-24,3216,445,2772,2495,277,1769,113,613
2020-09-25,3255,446,2810,2500,310,1751,113,636
2020-09-26,3255,446,2810,2502,308,1741,99,662
2020-09-27,3255,446,2810,2505,305,1741,89,675
2020-09-28,3255,452,2804,2501,303,1723,92,686
2020-09-29,3275,454,2822,2503,319,1707,101,695
2020-09-30,3280,454,2827,2513,314,1702,96,715
2020-10-01,3287,459,2829,2512,317,1695,94,723
2020-10-02,3295,467,2829,2511,318,1681,98,732
2020-10-03,3295,468,2828,2517,311,1675,101,741
2020-10-04,3295,468,2828,2529,299,1666,100,763
2020-10-05,3305,470,2836,2531,305,1646,112,773
2020-10-06,3314,471,2844,2538,306,1635,117,786
2020-10-07,3318,471,2848,2542,306,1627,110,805
2020-10-08,3318,474,2846,2545,301,1625,107,813
2020-10-09,3318,476,2844,2551,293,1618,108,825
2020-10-10,3318,476,2844,2555,289,1613,97,845
2020-10-11,3318,476,2844,2560,284,1608,89,863
2020-10-12,3350,480,2871,2562,309,1597,92,873
2020-10-13,3358,508,2851,2539,312,1581,98,860
2020-10-14,3359,509,2851,2541,310,1576,96,869
2020-10-15,3359,510,2850,2546,304,1579,98,869
2020-10-16,3367,510,2858,2551,307,1565,96,890
2020-10-17,3367,510,2858,2555,303,1563,91,901
2020-10-18,3367,510,2858,2560,298,1549,89,922
2020-10-19,3394,510,2885,2562,323,1544,84,934
2020-10-20,3412,510,2903,2564,339,1545,80,939
2020-10-21,3413,510,2904,2568,336,1539,78,951
2020-10-22,3416,510,2907,2574,333,1529,90,955
2020-10-23,3424,510,2915,2583,332,1515,87,981
2020-10-24,3424,510,2915,2588,327,1514,86,988
2020-10-25,3424,510,2915,2593,322,1511,86,996
2020-10-26,3438,534,2907,2574,333,1493,91,990
2020-10-27,3445,535,2913,2576,337,1484,88,1004
2020-10-28,3451,535,2919,2578,341,1486,81,1011
2020-10-29,3455,535,2923,2581,342,1482,74,1025
2020-10-30,3462,536,2929,2585,344,1473,73,1039
2020-10-31,3462,536,2929,2593,336,1462,75,1056
2020-11-01,3462,536,2929,2602,327,1453,78,1071
2020-11-02,3472,538,2937,2606,331,1437,89,1080
2020-11-03,3476,539,2940,2610,330,1421,97,1092
2020-11-04,3480,539,2944,2615,329,1399,115,1101
2020-11-05,3487,541,2949,2619,330,1391,121,1107
2020-11-06,3489,541,2951,2621,330,1386,122,1113
2020-11-07,3489,541,2951,2625,326,1392,103,1130
2020-11-08,3489,541,2951,2629,322,1386,101,1142
2020-11-09,3497,542,2958,2633,325,1379,102,1152
2020-11-10,3501,565,2939,2616,323,1364,106,1146
2020-11-11,3519,567,2955,2616,339,1371,100,1145
2020-11-12,3528,567,2964,2620,344,1377,96,1147
2020-11-13,3545,568,2980,2622,358,1369,98,1155
2020-11-14,3545,568,2980,2629,351,1373,92,1164
2020-11-15,3545,568,2980,2636,344,1372,92,1172
2020-11-16,3601,569,3035,2637,398,1371,96,1170
2020-11-17,3627,572,3058,2644,414,1367,106,1171
2020-11-18,3628,575,3056,2650,406,1364,101,1185
2020-11-19,3629,576,3056,2659,397,1355,113,1191
2020-11-20,3629,576,3056,2669,387,1360,107,1202
2020-11-21,3629,576,3056,2690,366,1358,111,1221
2020-11-22,3629,576,3056,2696,360,1363,117,1216
2020-11-23,3734,581,3156,2702,454,1358,117,1227
2020-11-24,3750,583,3170,2705,465,1355,121,1229
2020-11-25,3759,583,3179,2706,473,1364,115,1227
2020-11-26,3759,583,3179,2709,470,1374,107,1228
2020-11-27,3766,583,3186,2713,473,1377,97,1239
2020-11-28,3766,583,3186,2725,461,1383,95,1247
2020-11-29,3791,584,3210,2739,471,1393,93,1253
2020-11-30,3798,584,3217,2749,468,1389,101,1259
2020-12-01,3866,588,3281,2753,528,1391,108,1254
2020-12-02,3868,588,3283,2766,517,1385,108,1273
2020-12-03,3914,588,3329,2776,553,1387,113,1276
2020-12-04,3930,616,3317,2757,560,1392,113,1252
2020-12-05,3952,616,3339,2762,577,1397,108,1257
2020-12-06,3954,616,3341,2774,567,1410,102,1262
